date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:39	20700/20700	---M--	200	added ('OK')	image/png	etag:%2250dc-5e206ea2-13cf79;;;%22	https://gfxpartner.com/Frolic/images/team07.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/team07.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:40	22397/22397	---M--	200	added ('OK')	image/png	etag:%22577d-5e206ea2-13cf99;;;%22	https://gfxpartner.com/Frolic/images/team08.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/team08.png	(from https://gfxpartner.com/Frolic/index-finland.html)
15:54:40	3141/3141	---M--	200	added ('OK')	image/jpeg	etag:%22c45-5e206ea1-13cfeb;;;%22	https://gfxpartner.com/Frolic/images/attractions-icon01.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions-icon01.jpg	(from https://gfxpartner.com/Frolic/index-sweden.html)
15:54:41	2756/2756	---M--	200	added ('OK')	image/jpeg	etag:%22ac4-5e206ea1-13cfdd;;;%22	https://gfxpartner.com/Frolic/images/attractions-icon02.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions-icon02.jpg	(from https://gfxpartner.com/Frolic/index-sweden.html)
15:54:41	1843/1843	---M--	200	added ('OK')	image/jpeg	etag:%22733-5e206ea1-13cfe3;;;%22	https://gfxpartner.com/Frolic/images/attractions-icon03.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions-icon03.jpg	(from https://gfxpartner.com/Frolic/index-sweden.html)
15:54:42	2627/2627	---M--	200	added ('OK')	image/jpeg	etag:%22a43-5e206ea1-13cfbe;;;%22	https://gfxpartner.com/Frolic/images/attractions-icon04.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions-icon04.jpg	(from https://gfxpartner.com/Frolic/index-sweden.html)
15:54:42	2980/2980	---M--	200	added ('OK')	image/jpeg	etag:%22ba4-5e206ea1-13cfc3;;;%22	https://gfxpartner.com/Frolic/images/attractions-icon05.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions-icon05.jpg	(from https://gfxpartner.com/Frolic/index-sweden.html)
15:54:43	2841/2841	---M--	200	added ('OK')	image/jpeg	etag:%22b19-5e206ea1-13cfd1;;;%22	https://gfxpartner.com/Frolic/images/attractions-icon06.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions-icon06.jpg	(from https://gfxpartner.com/Frolic/index-sweden.html)
15:54:44	2664/2664	---M--	200	added ('OK')	image/jpeg	etag:%22a68-5e206ea1-13cfcb;;;%22	https://gfxpartner.com/Frolic/images/attractions-icon07.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions-icon07.jpg	(from https://gfxpartner.com/Frolic/index-sweden.html)
15:54:44	3122/3122	---M--	200	added ('OK')	image/jpeg	etag:%22c32-5e206ea1-13cf52;;;%22	https://gfxpartner.com/Frolic/images/attractions-icon08.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/attractions-icon08.jpg	(from https://gfxpartner.com/Frolic/index-sweden.html)
